시도별,전체,전체 남학생,전체 여학생,1학년,1학년 남자,1학년 여자,2학년,2학년 남자,2학년 여자,3학년,3학년 남자,3학년 여자
총계,"1,299,965","675,610","624,355","413,882","214,421","199,461","439,510","228,357","211,153","446,573","232,832","213,741"
서울특별시,"216,319","110,833","105,486","67,822","34,905","32,917","73,595","37,597","35,998","74,902","38,331","36,571"
부산광역시,"73,499","38,416","35,083","22,995","11,988","11,007","24,757","12,889","11,868","25,747","13,539","12,208"
대구광역시,"63,074","33,121","29,953","19,778","10,327","9,451","20,970","10,982","9,988","22,326","11,812","10,514"
인천광역시,"73,573","38,025","35,548","23,576","12,218","11,358","24,839","12,869","11,970","25,158","12,938","12,220"
광주광역시,"43,694","22,791","20,903","13,558","7,024","6,534","14,648","7,627","7,021","15,488","8,140","7,348"
대전광역시,"40,840","21,460","19,380","12,828","6,758","6,070","13,906","7,294","6,612","14,106","7,408","6,698"
울산광역시,"30,535","16,227","14,308","9,646","5,081","4,565","10,207","5,422","4,785","10,682","5,724","4,958"
세종특별자치시,"10,818","5,351","5,467","3,661","1,799","1,862","3,725","1,841","1,884","3,432","1,711","1,721"
경기도,"345,024","177,362","167,662","110,742","56,532","54,210","117,074","60,133","56,941","117,208","60,697","56,511"
강원특별자치도,"38,374","20,132","18,242","12,352","6,478","5,874","12,941","6,811","6,130","13,081","6,843","6,238"
충청북도,"40,246","21,130","19,116","12,925","6,732","6,193","13,738","7,252","6,486","13,583","7,146","6,437"
충청남도,"56,671","29,735","26,936","18,477","9,636","8,841","19,225","10,102","9,123","18,969","9,997","8,972"
전라북도,"50,532","26,542","23,990","16,049","8,504","7,545","17,008","8,877","8,131","17,475","9,161","8,314"
전라남도,"46,781","24,322","22,459","14,727","7,584","7,143","15,745","8,252","7,493","16,309","8,486","7,823"
경상북도,"64,967","34,857","30,110","21,081","11,262","9,819","21,623","11,623","10,000","22,263","11,972","10,291"
경상남도,"86,627","45,574","41,053","27,681","14,426","13,255","29,442","15,565","13,877","29,504","15,583","13,921"
제주특별자치도,"18,391","9,732","8,659","5,984","3,167","2,817","6,067","3,221","2,846","6,340","3,344","2,996"
